日期 ,时间 ,纬度 ,经度 ,海拔
17／10／05,93445,40/47.628,111.41.732,1057m
17／10／05,93446,40/47.628,111.41.732,1057m
17／10／05,93447,40/47.629,111.41.731,1057m
17／10／05,93448,40/47.630,111.41.731,1057m
17／10／05,93449,40/47.631,111.41.729,1057m
17／10／05,93450,40/47.633,111.41.729,1057m
17／10／05,93451,40/47.635,111.41.727,1058m
17／10／05,93452,40/47.637,111.41.726,1058m
17／10／05,93453,40/47.640,111.41.724,1058m
17／10／05,93454,40/47.642,111.41.722,1058m
17／10／05,93455,40/47.645,111.41.721,1058m
17／10／05,93456,40/47.647,111.41.720,1058m
17／10／05,93457,40/47.649,111.41.719,1058m
17／10／05,93458,40/47.651,111.41.718,1058m
17／10／05,93459,40/47.654,111.41.717,1058m
17／10／05,93500,40/47.657,111.41.716,1058m
17／10／05,93501,40/47.660,111.41.715,1057m
17／10／05,93502,40/47.664,111.41.714,1057m
17／10／05,93503,40/47.667,111.41.713,1057m
17／10／05,93504,40/47.670,111.41.711,1058m
17／10／05,93505,40/47.674,111.41.709,1057m
17／10／05,93506,40/47.677,111.41.708,1057m
17／10／05,93507,40/47.680,111.41.707,1057m
17／10／05,93508,40/47.683,111.41.705,1057m
17／10／05,93509,40/47.686,111.41.704,1057m
17／10／05,93510,40/47.688,111.41.704,1058m
17／10／05,93511,40/47.690,111.41.703,1058m
17／10／05,93512,40/47.693,111.41.702,1057m
17／10／05,93513,40/47.695,111.41.701,1057m
17／10／05,93514,40/47.697,111.41.701,1057m
17／10／05,93515,40/47.699,111.41.700,1057m
17／10／05,93516,40/47.700,111.41.700,1056m
17／10／05,93517,40/47.701,111.41.699,1056m
17／10／05,93518,40/47.702,111.41.700,1056m
17／10／05,93519,40/47.702,111.41.700,1057m
17／10／05,93520,40/47.703,111.41.701,1057m
17／10／05,93521,40/47.704,111.41.700,1057m
17／10／05,93522,40/47.706,111.41.700,1057m
17／10／05,93523,40/47.710,111.41.699,1057m
17／10／05,93524,40/47.713,111.41.698,1057m
17／10／05,93525,40/47.716,111.41.697,1057m
17／10／05,93526,40/47.718,111.41.696,1057m
17／10／05,93527,40/47.719,111.41.696,1057m
17／10／05,93528,40/47.719,111.41.696,1057m
17／10／05,93529,40/47.719,111.41.695,1057m
17／10／05,93530,40/47.719,111.41.695,1057m
17／10／05,93531,40/47.719,111.41.695,1057m
17／10／05,93532,40/47.719,111.41.695,1057m
17／10／05,93533,40/47.719,111.41.695,1057m
17／10／05,93534,40/47.719,111.41.695,1057m
17／10／05,93535,40/47.719,111.41.695,1057m
17／10／05,93536,40/47.719,111.41.695,1057m
17／10／05,93537,40/47.719,111.41.695,1057m
17／10／05,93538,40/47.719,111.41.695,1057m
17／10／05,93539,40/47.719,111.41.695,1057m
17／10／05,93540,40/47.719,111.41.695,1057m
17／10／05,93541,40/47.719,111.41.695,1057m
